year,month,day,meantemp,meanhumid,meanwind,meanpress,precip
2019,11,1,57.2,49.3,21.6,29.8,0.07
2019,11,2,45.7,52,6.9,30.1,0
2019,11,3,48.9,45.4,10,30,0
2019,11,4,48.2,46.7,8.6,30.3,0
2019,11,5,54.7,80.7,7.2,30.1,0
2019,11,6,49.3,41,10.8,30.3,0.4
2019,11,7,49.1,61.6,11.8,30.1,0
2019,11,8,35.3,49,16.5,30,0.23
2019,11,9,34.5,44,9.7,30.2,0
2019,11,10,43.8,51.1,11.1,30,0
2019,11,11,48.2,64.9,8.7,30,0
2019,11,12,37.4,71.1,12.8,29.8,0
2019,11,13,26.4,36,16.1,30.2,0.08
2019,11,14,33.8,57.7,7,30.4,0
2019,11,15,44.9,45.9,13.1,30.1,0
2019,11,16,32.8,28,13.4,30.4,0
2019,11,17,36.1,61.4,13.3,30.3,0
2019,11,18,38.6,79.8,14.2,29.8,0.01
2019,11,19,42.9,84.8,4,29.8,0.3
2019,11,20,40.3,82.7,10.2,29.9,0.17
2019,11,21,42.7,64.7,8.6,30.1,0.23
2019,11,22,47.8,62.2,15.7,29.7,0.01
2019,11,23,40.7,40.6,10,29.9,0.08
2019,11,24,44,80.2,18.4,29.3,0.09
2019,11,25,47.1,57.3,11,29.7,1.42
2019,11,26,50.7,60.9,9.2,29.9,0
2019,11,27,49.2,82.9,6.2,29.7,0
2019,11,28,43.6,66.8,18.9,29.7,0
2019,11,29,36.3,51.4,17.6,30,0.06
2019,11,30,31.9,35.7,16.1,29.9,0
2019,12,1,31.8,67.7,11.6,29.9,0
2019,12,2,37.4,83.3,23.3,29.6,0.71
2019,12,3,32.3,74.9,15.9,29.3,0.41
2019,12,4,35.6,61.8,9.5,29.5,0.07
2019,12,5,39,55.6,13.3,29.6,0
2019,12,6,33.8,66.5,8.3,30,0
2019,12,7,30.8,51.9,12,30.3,0.04
2019,12,8,31.7,56,9.8,30.4,0
2019,12,9,49.7,83,11.6,30,0
2019,12,10,55.9,76.2,15.8,29.8,0.6
2019,12,11,34,72.8,11.1,30.2,0.31
2019,12,12,29.8,48.9,10.1,30.6,0.04
2019,12,13,40.3,77,7.1,30.4,0
2019,12,14,53.8,87.1,11.2,29.4,0.87
2019,12,15,44.6,45,22.6,29.6,0.48
2019,12,16,33.1,37.7,11.6,30.2,0
2019,12,17,32.3,79,10.5,29.8,0.05
2019,12,18,32.9,62.5,14.2,29.7,0.6
2019,12,19,20.4,38.2,19.6,30.1,0
2019,12,20,24.5,45.7,13.3,30.4,0
2019,12,21,30.3,63.6,5.3,30.5,0
2019,12,22,37.9,59.8,10,30.2,0
2019,12,23,46.3,55,11.4,29.9,0
2019,12,24,42.3,42.8,9.8,30.1,0
2019,12,25,36.2,60.2,4.6,30.2,0
2019,12,26,36.8,67.2,7.9,30.4,0
2019,12,27,44,71.8,11.2,30.2,0.01
2019,12,28,46.1,55,11,30.1,0
2019,12,29,39.1,59.4,7.3,30.2,0
2019,12,30,38.3,82.6,20.9,30,0.53
2019,12,31,40.8,83.3,14.5,29.6,1.07
2020,1,1,38.9,55,15.5,29.6,0.04
2020,1,2,40.8,51.8,12.6,29.8,0
2020,1,3,48.1,56.6,7.2,29.8,0
2020,1,4,44.8,79.6,5.7,29.6,0
2020,1,5,37,61.5,16.6,29.6,0.24
2020,1,6,34.3,59.7,7,29.9,0
2020,1,7,38,51,9.3,30,0
2020,1,8,37.1,57.8,14.6,29.8,0.02
2020,1,9,28.1,34.6,13.1,30.6,0
2020,1,10,43.9,61.1,14.1,30.5,0
2020,1,11,60.2,66.8,18.3,30.1,0
2020,1,12,61.5,57.8,20.6,30,0.02
2020,1,13,38.9,73.7,9.7,30.4,0
2020,1,14,40,76.1,5.6,30.3,0.01
2020,1,15,44.9,62,8.5,30.1,0
2020,1,16,39.9,64.1,13.8,29.8,0.03
2020,1,17,20.6,33.8,20.2,30.4,0.07
2020,1,18,22.3,54.2,9.1,30.3,0
2020,1,19,32.3,65.9,11.9,29.7,0.3
2020,1,20,23.8,39.8,13.9,30.1,0
2020,1,21,23.3,39,7.7,30.4,0
2020,1,22,30.4,48.9,4.9,30.4,0
2020,1,23,38.2,42.3,7.2,30.3,0
2020,1,24,40.6,61.3,7,30.4,0
2020,1,25,44.8,80,15,30,0
2020,1,26,46,64.5,12.2,29.6,0.7
2020,1,27,42.6,55.3,12.4,29.6,0
2020,1,28,39.5,50.8,13.2,29.7,0
2020,1,29,35.5,38.6,11,27.5,0
2020,1,30,28.7,45.9,7.6,30.3,0
2020,1,31,37.3,52.2,9,30.3,0
2020,2,1,38.1,77.9,4.5,29.9,0.02
2020,2,2,39.4,57.2,7.1,29.5,0
2020,2,3,42.3,54.2,9.6,29.7,0
2020,2,4,42.1,68.4,3.5,29.8,0
2020,2,5,39.4,55.4,6.2,30,0.05
2020,2,6,38,81.5,12.7,29.7,0.29
2020,2,7,39.8,77.6,14.8,29.1,0.21
2020,2,8,29.9,43.9,16.7,30.1,0.26
2020,2,9,29.9,58.4,7.7,30.5,0
2020,2,10,44.4,73.5,13.8,30.1,0.03
2020,2,11,41.7,83.5,6.7,29.9,0.14
2020,2,12,41.2,48.6,11.8,30,0.16
2020,2,13,38.4,81.2,6.4,29.7,0.42
2020,2,14,26.9,45.1,14.3,30.2,0.11
2020,2,15,22,41,10.6,30.5,0
2020,2,16,38.7,47.6,11,30.1,0
2020,2,17,40.5,42.6,9,30.2,0
2020,2,18,39.2,67.9,11.1,30.2,0
2020,2,19,41.3,43.8,15,30.1,0.45
2020,2,20,30.3,35.4,12.1,30.4,0
2020,2,21,25.9,35.1,10,30.4,0
2020,2,22,39,31.8,11.8,30.1,0
2020,2,23,44.8,37,9,30.1,0
2020,2,24,49,42.6,9,30,0
2020,2,25,46.5,75.9,5.5,29.9,0
2020,2,26,45.3,79.5,9.8,29.9,0.41
2020,2,27,44.6,67.9,20.6,29.4,0.62
2020,2,28,33.4,35.5,15.4,29.7,0.13
2020,2,29,28.8,42.1,12.4,29.8,0